Time (min), Depth (µm), Load (N), Position (µm), Acoustic (aJ)
7.21333333333333E-06, 227.853180130572, -6.11612709232233E-05, 0,316.799499511719
0.000664315, 227.853421921021, -0.000204621565042556, 0.00499999999999999,261.1669921875
0.00133081, 227.853594114294, -0.000500358710475119, 0.01625,256.589965820313
0.001997585, 227.854302348591, -0.000666428868917406, 0.03125,260.850463867188
0.002664175, 227.855108350574, -0.000677697802850697, 0.04625,272.037872314453
0.00333108, 227.856824134569, -0.00107575680878059, 0.06,272.037872314453
0.00399766333333333, 227.858146887055, -0.0011460117799346, 0.075,276.987487792969
0.00466412833333333, 227.860819711871, -0.00111338991851957, 0.08875,283.815521240234
0.00533138333333333, 227.863411179941, -0.00118553929455622, 0.10375,289.307983398438
0.00599770833333333, 227.867331270122, -0.000931860036596145, 0.11625,289.307983398438
0.006664175, 227.870751451577, -0.000689215724362453, 0.12875,287.361968994141
0.007331165, 227.875151068604, -0.000800079655781612, 0.14375,293.361450195313
0.00799761666666667, 227.879822329797, -0.00109499334256801, 0.15625,290.645141601563
0.00866438166666667, 227.884892820656, -0.000975669836047942, 0.17,294.82275390625
0.009330855, 227.891101100032, -0.00136313637399292, 0.18375,305.183319091797
0.00999775166666667, 227.89979284672, -0.00128835463022473, 0.19625,305.183319091797
0.0106642416666667, 227.909931272111, -0.00127192145563584, 0.21,295.174072265625
0.0113310816666667, 227.921081820047, -0.00080426294562243, 0.22375,296.106140136719
0.0119976383333333, 227.93305156654, -0.000612176593899767, 0.23875,300.063995361328
0.0128309016666667, 227.950981724456, -0.000463714051024152, 0.25375,295.583953857422
0.013497955, 227.962552127227, -0.000269148323859076, 0.2675,296.544769287109
0.0141641383333333, 227.974263202018, -0.000312251658810668, 0.28,296.544769287109
0.0148308116666667, 227.986211236698, -0.000946746788763954, 0.29375,297.732543945313
0.01549811, 227.997910636815, -0.00104886915927314, 0.30625,296.888153076172
0.01616456, 228.01007304825, -0.00129811314000763, 0.32,353.789916992188
0.0168308316666667, 228.022672481262, -0.00168786856297456, 0.33375,298.456420898438
0.0174975083333333, 228.034919038784, -0.00188305225910005, 0.34625,298.456420898438
0.0181644266666667, 228.046989934728, -0.00173615563757773, 0.36,296.062469482422
0.0188309566666667, 228.059069258812, -0.0015458241977257, 0.37375,299.790283203125
0.0194976866666667, 228.070997224881, -0.00123397036183835, 0.38875,295.218902587891
0.02016447, 228.082721488669, -0.00092941515932999, 0.40125,303.597534179688
0.0208308116666667, 228.09471784763, -0.000753345003127094, 0.41375,303.597534179688
0.0214976683333333, 228.107210278171, -0.000805999858315197, 0.4275,296.504791259766
0.0221643983333333, 228.119634785617, -0.00105743522896417, 0.44125,296.54931640625
0.0228315116666667, 228.132139828187, -0.000986563788752894, 0.45375,298.80908203125
0.0234975716666667, 228.144681987103, -0.00136079649143499, 0.46875,297.086944580078
0.0241644416666667, 228.157379126862, -0.00151971050938036, 0.48,297.086944580078
0.02483082, 228.169656400301, -0.00112203098438826, 0.49375,290.247711181641
0.025497515, 228.18214426807, -0.000807955760034603, 0.50625,282.342834472656
0.0261642, 228.194680067822, -0.000865140387749455, 0.52,284.149597167969
0.0268308216666667, 228.207821120937, -0.000676793348201737, 0.53375,291.200714111328
0.0274977516666667, 228.220895523655, -0.000637412826277908, 0.54625,291.200714111328
0.0281644166666667, 228.233787777833, -0.000816280341917962, 0.56,275.021331787109
0.02883128, 228.246659506784, -0.00101480287036022, 0.57375,272.605285644531
0.0294975633333333, 228.259029979788, -0.000925107375678686, 0.58625,277.208679199219
0.030165675, 228.27057936369, -0.000617295836716996, 0.6,281.006591796875
0.0308308116666667, 228.282082779289, -0.000366137952125134, 0.6125,281.006591796875
0.031497805, 228.293085662843, -0.00011050579229446, 0.62625,269.975311279297
0.0321647683333333, 228.304290115759, 2.20395501357671E-05, 0.64,278.418304443359
0.0328308966666667, 228.316133855601, -0.000192752661092912, 0.6525,334.909851074219
0.0334978666666667, 228.328211808693, -0.000255175025674105, 0.66625,273.959930419922
0.0341647633333333, 228.340097549472, -0.000265953484263768, 0.67875,273.959930419922
0.0348309716666667, 228.352267591749, -0.000272359662516549, 0.6925,275.375549316406
0.0354977083333333, 228.363910213414, 1.66007376177677E-06, 0.705,273.276641845703
0.0361646083333333, 228.375616344447, 0.000371766483730383, 0.71875,272.304412841797
0.0368308533333333, 228.387040196984, 0.000515222278055251, 0.7325,277.076324462891
0.0374977466666667, 228.39825654604, 0.000626684679396327, 0.745,277.076324462891
0.038164355, 228.409798754934, 0.000528028634799439, 0.75875,274.406280517578
0.03883127, 228.421565579317, 0.000244515875357582, 0.77125,274.975952148438
0.0394983766666667, 228.433286184075, -0.000242992637587943, 0.785,277.191528320313
0.0401642666666667, 228.444458533196, -0.000245103031563392, 0.7975,275.965484619141
0.0408308416666667, 228.456039203776, -0.000524997972706968, 0.81,275.965484619141
0.0414979066666667, 228.466900767798, -0.000306932925877773, 0.82375,281.480316162109
0.042164435, 228.477030236249, -0.000588771769430545, 0.83625,282.892730712891
0.0428309983333333, 228.485575098793, -0.000170459280819045, 0.85,296.723175048828
0.0434977733333333, 228.494981540303, -0.000220657259388277, 0.865,307.346893310547
0.0441644566666667, 228.504603755827, 0.000155469848155203, 0.8775,307.346893310547
0.044831065, 228.51482968603, 4.4875903171138E-05, 0.89,310.276794433594
0.04549794, 228.525566282554, 0.000406344246949833, 0.90375,312.347229003906
0.0461646066666667, 228.537751007078, 0.000386786729318861, 0.9175,312.343719482422
0.0468314383333333, 228.549775961489, 0.000496690708928648, 0.93125,314.112670898438
0.047497955, 228.561546383348, -0.000116956968194322, 0.94375,314.112670898438
0.04816417, 228.573313609369, -0.000102709183843555, 0.9575,314.408569335938
0.0488313733333333, 228.585192384121, -0.000160660272992234, 0.97125,380.688659667969
0.04949752, 228.59689955863, -6.18587356857216E-05, 0.985,318.611938476563
0.0501643383333333, 228.609080015474, -0.000270766742460224, 0.9975,312.929046630859
0.05083092, 228.620863771365, 8.54503651112474E-05, 1.01,312.929046630859
0.051497515, 228.632559529342, 0.000188399194094153, 1.02375,311.871917724609
0.05216423, 228.644125040178, 0.00023567231965195, 1.0375,314.736968994141
0.0528308116666667, 228.655968585236, 2.32214908205835E-05, 1.05125,307.918243408203
0.0534975766666667, 228.666993264972, 6.06986083791212E-05, 1.065,308.709411621094
0.0541653283333333, 228.678474440121, 0.000120589100121278, 1.0775,308.709411621094
0.054831515, 228.689822231736, 1.64043332175471E-05, 1.09125,309.339416503906
0.055498, 228.701861934198, -0.000141566232086885, 1.105,309.52880859375
0.0561642083333333, 228.712818888341, -5.52545674542184E-05, 1.11875,311.957824707031
0.0568311766666667, 228.724874763127, -0.000236656955782115, 1.13125,313.291595458984
0.0574982233333333, 228.735864564495, -0.000213228132564949, 1.14375,313.291595458984
0.05816565, 228.747000982778, -0.000332112161107336, 1.1575,310.361633300781
0.0588308183333333, 228.757669828079, -0.00033966278187109, 1.17125,315.507598876953
0.0594979466666667, 228.768641874483, -0.000459532260958959, 1.185,309.434906005859
0.0601641866666667, 228.778432269596, -0.000465021985210063, 1.19875,312.304046630859
0.0608308266666667, 228.788857707384, -0.000715087924666321, 1.21125,312.304046630859
0.061497545, 228.798760168073, -0.00088821372873427, 1.225,309.982208251953
0.06216444, 228.80818062071, -0.000746313356228121, 1.23875,313.800445556641
0.06283082, 228.817821704934, -0.000599413734857003, 1.2525,321.068786621094
0.063498245, 228.82783931009, -0.000384081550800643, 1.26625,318.133880615234
0.0641641483333333, 228.838155180949, -0.000268891836658594, 1.27875,318.133880615234
0.0648308266666667, 228.848035834891, -0.000276676445671765, 1.29125,312.937194824219
