Time (min), Depth (µm), Load (N), Position (µm), Acoustic (aJ)
9.39E-06, 268.705335521512, 0.000984917252844463, 0,101.940498352051
0.000664566666666667, 268.705447011783, 0.000831116478103727, 0.00124999999999995,105.116836547852
0.00133092666666667, 268.704473621931, 0.00084032451558813, 0.00625000000000018,105.664009094238
0.00199782, 268.705039201207, 0.000409123174432772, 0.0149999999999998,105.664009094238
0.002664445, 268.705033827088, 0.000138748255091986, 0.0225,99.7710113525391
0.00333151, 268.706796176965, 0.000161151129826036, 0.03125,110.900001525879
0.00399809833333333, 268.70751147312, 0.000175079430215148, 0.0362499999999998,102.928291320801
0.004664255, 268.710127144183, 6.76098282944211E-05, 0.04375,108.07576751709
0.00533082333333333, 268.712215742858, 0.00015394099194433, 0.0512500000000001,108.07576751709
0.00599783, 268.715108257397, 0.000123641013866865, 0.0574999999999998,108.49227142334
0.00666437333333333, 268.720169905311, -4.49670171120704E-05, 0.0649999999999999,100.789031982422
0.00749778166666667, 268.723320877882, -0.000159264276106656, 0.07375,99.8871078491211
0.00816444833333333, 268.727135212668, 0.000385791846323072, 0.0800000000000002,102.38444519043
0.00883091833333333, 268.730663645378, 0.000229753183947594, 0.08625,105.220779418945
0.00949793, 268.734237502326, 0.000348239732501864, 0.0925000000000001,105.220779418945
0.01016505, 268.738237959749, 6.79848093952355E-05, 0.0999999999999998,104.982780456543
0.0108311333333333, 268.741063728674, 0.000307081799798854, 0.10625,102.260276794434
0.011497755, 268.744974294977, 0.000134396973590479, 0.1125,106.681015014648
0.0121646816666667, 268.747896072852, 0.000117138840473529, 0.12,122.398681640625
0.0128308916666667, 268.75141527735, 0.000185118425903972, 0.12625,122.398681640625
0.01349837, 268.754025867322, 0.0003191186952179, 0.1325,103.789642333984
0.0141644166666667, 268.758318449653, 3.93017501432935E-05, 0.14,102.983032226563
0.0148308233333333, 268.760851325206, 0.000124884451409706, 0.14625,103.791328430176
0.0154980883333333, 268.764429753351, -9.58529430620349E-06, 0.15125,108.942611694336
0.0161643966666667, 268.767676345521, 0.000235193410714644, 0.1575,108.942611694336
0.0168309483333333, 268.770435536537, 0.000257669781765709, 0.16625,99.4508361816406
0.0174980566666667, 268.773766395776, 0.000481620532930975, 0.17125,106.578552246094
0.0181645283333333, 268.777276046767, -4.20841619201646E-05, 0.1775,99.207145690918
0.0188310183333333, 268.78126203148, -0.000143191083459566, 0.185,99.9951248168945
0.0194979233333333, 268.784464051672, -0.000437992275915718, 0.1925,99.9951248168945
0.0201643066666667, 268.78885340137, -0.000485268401301067, 0.1975,103.780044555664
0.020831035, 268.791678299479, -0.000821038535921656, 0.20375,105.338302612305
0.0214976733333333, 268.795205995507, -0.000575133387440166, 0.21125,101.122421264648
0.022164325, 268.798363942023, -0.0005673007808886, 0.21875,102.972648620605
0.0228314033333333, 268.80169946795, -0.000780795557253412, 0.22375,102.972648620605
0.0234980683333333, 268.804963122332, -0.000813462416421792, 0.23,104.817733764648
0.0241650516666667, 268.808038130854, -0.000559645165395364, 0.2375,108.742942810059
0.0248308716666667, 268.812159192189, -0.000328350783076501, 0.245,101.972732543945
0.02549761, 268.815126356142, -0.000378106283904263, 0.25125,103.967208862305
0.0261644233333333, 268.81860367095, -0.000175689951094782, 0.25625,103.967208862305
0.0268308066666667, 268.821453552136, -0.000114665516291221, 0.26375,104.849685668945
0.027498345, 268.825179588359, -0.000509717173261227, 0.27,100.931991577148
0.028164405, 268.827487264231, -0.000710990563505393, 0.27625,127.829902648926
0.0288308366666667, 268.830200940356, -0.000505586380710762, 0.285,106.108261108398
0.02949782, 268.833483652525, -0.000498058258791802, 0.29,106.108261108398
0.0301642383333333, 268.836118793083, -0.000449964674479153, 0.29625,101.930999755859
0.0308314633333333, 268.839685284539, -0.000232679588488431, 0.30375,107.785903930664
0.0314977533333333, 268.842864866783, -0.00044862824162331, 0.31,102.109588623047
0.03216427, 268.846782501957, -0.000483613984344208, 0.31625,107.634353637695
0.0328312133333333, 268.84955653987, -0.000462189060512369, 0.3225,107.634353637695
0.0334976266666667, 268.853915463165, -0.000794663860645139, 0.33125,107.933753967285
0.034164805, 268.857107268435, -0.0006110445836454, 0.33625,99.940544128418
0.034830845, 268.86049695321, -0.000514251445476169, 0.3425,103.103080749512
0.0354982633333333, 268.864175537248, -0.000822391467945935, 0.34875,102.429832458496
0.03616453, 268.867877700499, -0.000867830185597228, 0.35625,102.429832458496
0.0368307416666667, 268.8715448766, -0.000676471297380178, 0.3625,109.994857788086
0.0374978933333333, 268.874450952331, -0.000879610593900808, 0.36875,103.431457519531
0.03816519, 268.87877820757, -0.000828599656113725, 0.375,99.7692413330078
0.03883123, 268.881611597555, -0.000549469676522081, 0.3825,101.360832214355
0.0394978, 268.88399123404, -0.000185764945033046, 0.38875,101.360832214355
0.04016457, 268.884737814917, 0.000185284917533988, 0.395,102.297164916992
0.0408307666666667, 268.887336197193, 0.000164471962922439, 0.4025,106.76114654541
0.0414980833333333, 268.888540497078, 8.69528566082028E-05, 0.41,104.603530883789
0.04216427, 268.890515068086, -0.000119346781161444, 0.415,103.742607116699
0.0428307583333333, 268.894072441439, -0.000263971016808991, 0.42125,103.742607116699
0.0434976766666667, 268.897848926382, -0.000898172161557985, 0.42875,100.309600830078
0.0441645133333333, 268.901506400126, -0.000915064313078032, 0.435,106.51676940918
0.04483115, 268.904295932797, -0.000856553752020667, 0.44125,122.575355529785
0.0454979, 268.908138346513, -0.000682884975212468, 0.44875,109.198059082031
0.0461644283333333, 268.910186581846, -0.000754491378530119, 0.455,109.198059082031
0.0468307633333333, 268.913679746062, -0.000683651436773819, 0.46125,106.599197387695
0.0474976966666667, 268.915936089774, -0.000730026107401523, 0.46875,109.689277648926
0.048164625, 268.919379409654, -0.000885878779044728, 0.475,99.9177627563477
0.0488308383333333, 268.921950935369, -0.000887908177059893, 0.48125,98.6462707519531
