Time (min), Depth (µm), Load (N), Position (µm), Acoustic (aJ)
8.64333333333333E-06, 228.863178546759, 0.00082415094936704, 0,180.081390380859
0.000666021666666667, 228.863141115882, 0.000935215870698744, 0.00375000000000028,193.311187744141
0.00133106666666667, 228.863535851811, 0.000666504367839982, 0.0162500000000006,181.378311157227
0.00199783833333333, 228.865106978574, 0.000738638744611342, 0.0337500000000008,203.623413085938
0.00266461833333333, 228.867101546639, 0.000607563328393865, 0.0487500000000002,203.623413085938
0.00333126666666667, 228.870435857757, 0.000943411459125932, 0.0625000000000001,213.839019775391
0.00399850833333333, 228.874672188607, 0.000777318801775088, 0.0774999999999994,220.040252685547
0.00466439333333333, 228.880471130689, 0.000932087027925958, 0.0925000000000006,259.839599609375
0.00533105666666667, 228.886873388396, 0.000700050182899958, 0.104999999999999,214.085922241211
0.00599793, 228.894089852247, 0.000724912934059179, 0.1175,214.085922241211
0.00666442, 228.901370211753, 0.000391758668065462, 0.131249999999999,218.043273925781
0.007331585, 228.909640370691, 0.000348155858202569, 0.14375,206.697616577148
0.00799797166666667, 228.918052414803, 9.64655003200255E-05, 0.1575,209.380432128906
0.00866450333333333, 228.927347728003, 0.000167962409092477, 0.17125,206.145660400391
0.00933113833333333, 228.93745532574, -3.73652774938261E-05, 0.18375,206.145660400391
0.00999773833333333, 228.948416663536, -0.000263870400406685, 0.1975,205.741989135742
0.010664485, 228.959841735656, -0.000133789434238601, 0.21375,204.953857421875
0.0114982766666667, 228.971292556739, -3.96961604415707E-05, 0.226250000000001,205.919281005859
0.01216449, 228.982932210558, -0.000157882724030173, 0.240000000000001,206.358108520508
0.0128312683333333, 228.994441741187, -1.3020000338745E-05, 0.252499999999999,205.355651855469
0.0134978, 229.006075067101, 0.000231121236725702, 0.2675,205.355651855469
0.0141649966666667, 229.017960471929, 0.000287950382208203, 0.280000000000001,202.400985717773
0.0148313616666667, 229.028727478908, 0.00059416900117733, 0.29125,207.367828369141
0.0154978833333333, 229.038145444152, 0.000599585229090167, 0.306249999999999,216.389404296875
0.016164505, 229.047677146537, 0.000595808418805141, 0.320000000000001,221.094650268555
0.0168311316666667, 229.057370678137, 0.000352984115600549, 0.332499999999999,221.094650268555
0.01749794, 229.066969014614, 0.000282402160862864, 0.345,220.998413085938
0.0181645283333333, 229.078242695684, 0.00011330215457339, 0.35875,222.886154174805
0.0188314283333333, 229.09111659064, -9.67697937080736E-05, 0.37125,232.701751708984
0.01949779, 229.103373862351, -3.81992356745785E-05, 0.385,233.499053955078
0.0201644683333333, 229.115335040355, -7.10279761145854E-06, 0.39875,233.499053955078
0.0208311916666667, 229.127452194273, -5.37564542206768E-05, 0.4125,237.783935546875
0.021497725, 229.139535981986, -0.000326493754900422, 0.425,282.968231201172
0.0221644, 229.150952280258, 8.0434305513719E-05, 0.43875,239.067626953125
0.0228310433333333, 229.163497403819, -0.000376145760901851, 0.4525,241.664321899414
0.023498275, 229.175634647781, -0.000473324379727736, 0.46625,241.664321899414
0.0241643366666667, 229.18769561022, -0.000326430758075486, 0.47875,239.777862548828
0.0248316633333333, 229.199523358697, -0.000178944666113916, 0.4925,239.057662963867
0.0254986716666667, 229.211445181953, -0.000221904008301541, 0.505,232.791763305664
0.0261660833333333, 229.222775195952, 0.000199739812919692, 0.52,232.791763305664
0.0268315983333333, 229.234758154879, 0.000233998092177486, 0.5325,238.691177368164
0.0274979416666667, 229.246736667234, 0.000110021819372112, 0.545,239.962493896484
0.0281654183333333, 229.258427525024, 0.00020561501782745, 0.55875,232.921524047852
0.0288312, 229.270133711856, 0.000233149134816464, 0.5725,241.154525756836
0.02949777, 229.282069179197, 0.000274248570425238, 0.585,237.089813232422
0.03016443, 229.293843154781, 0.000582496587473293, 0.59875,237.089813232422
0.0308312483333333, 229.305389410499, 0.000573959016303416, 0.611250000000001,234.552322387695
0.0314977083333333, 229.317363718056, 0.000629409731110545, 0.62625,228.38493347168
0.0321645583333333, 229.32937571075, 0.000341298202640645, 0.63875,235.076904296875
0.0328313716666667, 229.34103740123, 0.0002477644007523, 0.6525,230.316741943359
0.0334978683333333, 229.352835872648, 0.000134194605242073, 0.66625,230.316741943359
0.0341643266666667, 229.364757218498, 0.000117624937532489, 0.678750000000001,231.854568481445
0.0348312516666667, 229.376637084526, 2.70999845071773E-05, 0.6925,232.975067138672
0.0354980033333333, 229.38850184744, 0.000335692984167982, 0.70625,232.219284057617
0.0361643483333333, 229.400460621993, 0.000320665238999996, 0.72,191.651748657227
0.036831095, 229.412587285386, 0.00042859531775503, 0.7325,191.651748657227
0.0374978366666667, 229.424372315595, 0.000643662015192014, 0.74625,273.726623535156
0.0381643583333333, 229.435910989337, 0.000922376515638939, 0.76,228.931030273438
0.0388313216666667, 229.447645696352, 0.000500266217822022, 0.772500000000001,239.069000244141
0.03949814, 229.459154594245, 0.000194187091864906, 0.78625,234.774566650391
0.0401644183333333, 229.469671561475, 0.000210353279846251, 0.798749999999999,234.774566650391
0.0408311933333333, 229.479893108281, -4.01566372971332E-05, 0.812500000000001,237.02180480957
0.0414977683333333, 229.490893467926, -0.000515512760644562, 0.826250000000001,239.689254760742
0.0421644033333333, 229.501425794113, -0.000364600840793345, 0.84125,237.215225219727
0.04283141, 229.511660493928, -5.88486983773928E-05, 0.852500000000001,240.623458862305
0.043498135, 229.521763235637, -0.000251389527258005, 0.866250000000001,240.623458862305
0.04416436, 229.532331485204, -0.000194489885264788, 0.878749999999999,245.269592285156
0.0448312733333333, 229.54163067954, -1.45109254506325E-05, 0.892499999999999,241.865020751953
0.0454984716666667, 229.551804231378, 0.000102295707474431, 0.906250000000001,245.652633666992
0.04616439, 229.561622556767, -0.000260374076006322, 0.918749999999999,238.287384033203
0.0468311766666667, 229.572279445076, -0.000434299339951241, 0.932499999999999,238.287384033203
0.0474976866666667, 229.582487929054, -0.000660388983698127, 0.945,238.941223144531
0.0481643216666667, 229.592985816369, -0.000779385506613267, 0.9575,237.934539794922
0.0488311216666667, 229.60298334798, -0.000809324002867039, 0.97125,231.977783203125
0.0494976516666667, 229.613151417965, -0.000398482639004667, 0.98375,231.285720825195
0.0501644366666667, 229.623083378968, -0.00048906608910296, 0.9975,231.285720825195
0.0508312166666667, 229.632893013524, -0.000276558263186778, 1.01125,247.299194335938
0.0514976766666667, 229.642899726582, -0.00032973959196795, 1.02375,244.305313110352
0.05216464, 229.652333704411, -0.000376919722148982, 1.0375,244.724075317383
0.05283115, 229.662029697492, -0.000709887997495441, 1.05125,241.713714599609
0.0534978383333333, 229.671293271876, -0.000427971157852445, 1.06375,241.713714599609
0.05416438, 229.680963122099, -0.000577575143390227, 1.0775,290.447387695313
0.0548311, 229.690282709729, -0.000721407418846583, 1.09125,243.471343994141
0.0554976866666667, 229.699423928565, -0.000539394561159037, 1.10375,241.749603271484
0.05616437, 229.708673680402, -0.000355521796892638, 1.1175,238.765426635742
0.0568311983333333, 229.71795303148, -0.00039362288315171, 1.13125,238.765426635742
0.057497685, 229.726973635232, -0.000159483143708514, 1.1425,239.916641235352
0.0581644583333333, 229.736528634265, -0.00027220098205142, 1.15625,239.496444702148
0.0588315683333333, 229.74633288173, -0.000650372486875352, 1.17,241.490921020508
0.0594982266666667, 229.754968319495, -0.00065112244922576, 1.1825,236.263031005859
0.0601644, 229.763667955527, -0.000732773847951102, 1.19625,236.263031005859
0.06083108, 229.772344222506, -0.000506147231204088, 1.21,235.631317138672
