Time (min), Depth (µm), Load (N), Position (µm), Acoustic (aJ)
7.515E-06, 229.365923877573, 0.000249873073292922, 0,578.230529785156
0.000666905, 229.366494939453, 0.000371051986639884, 0.005,580.455505371094
0.00133328166666667, 229.368058630443, 0.000364806300340759, 0.01875,584.826110839844
0.00199967666666667, 229.37097574344, 0.000542299885014889, 0.035,590.230712890625
0.00266642666666667, 229.375776019417, 0.00049253388469505, 0.05,590.230712890625
0.00333330333333333, 229.382101110719, 0.000540259987443884, 0.0625,600.173522949219
0.00399990833333333, 229.390566589286, 0.000154266375496701, 0.07625,594.9638671875
0.00466713833333333, 229.400226679374, 8.64682809403061E-05, 0.09,593.81201171875
0.00533316, 229.410003865683, 2.98941226063587E-05, 0.10375,599.792846679688
0.00599967333333333, 229.420037867007, 8.01235996093124E-05, 0.11625,599.792846679688
0.00666649833333333, 229.430456575351, -0.000279132355292004, 0.13,599.119934082031
0.00733314833333333, 229.440693991055, -0.000138317928266354, 0.14375,602.671875
0.00799980166666667, 229.450150742861, 0.000131695509229485, 0.15625,597.635192871094
0.008666475, 229.460345828343, -7.15142837593521E-05, 0.17,721.405334472656
0.00933315333333333, 229.469764719644, -8.66144078940833E-06, 0.1825,721.405334472656
0.00999971833333333, 229.479040787745, 0.000391612953845414, 0.19625,612.223205566406
0.0106666116666667, 229.488508675921, 0.000599168028553129, 0.20875,611.924987792969
0.0113331983333333, 229.498717100448, 0.000768241036203344, 0.2225,613.233703613281
0.0119997083333333, 229.508205828801, 0.00112130680205096, 0.23625,614.346130371094
0.0126666666666667, 229.5189903874, 0.00109516611506637, 0.25,614.346130371094
0.0133331866666667, 229.529558683776, 0.00139180171538652, 0.2625,623.567626953125
0.0139997283333333, 229.540142654252, 0.00134965533235298, 0.2775,626.989562988281
0.0148332716666667, 229.549714017647, 0.00105483014110638, 0.2925,630.032043457031
0.01549977, 229.559213277572, 0.000692550338076745, 0.305,626.5224609375
0.0161663433333333, 229.567458192548, 0.000403703846542977, 0.31875,632.54443359375
0.0168333866666667, 229.575449997203, -6.59465634180246E-05, 0.3325,632.54443359375
0.0174996916666667, 229.582807481319, -0.000301214246139995, 0.345,632.43408203125
0.0181666216666667, 229.590840199895, -0.000580914197089893, 0.36,636.799682617188
0.01883346, 229.599805680529, -0.000662987074678822, 0.3725,638.910278320313
0.01949971, 229.608796006368, -0.000495595482624724, 0.38625,646.006713867188
0.0201665583333333, 229.619066973961, -0.000433602096465371, 0.39875,646.006713867188
0.0208332283333333, 229.629554453296, -0.000177452462609303, 0.41125,648.577819824219
0.0215013316666667, 229.640544158299, 4.82966982130272E-05, 0.42625,644.602233886719
0.022166695, 229.651669167938, 8.76652208053928E-05, 0.44,643.064392089844
0.0228330583333333, 229.663003933628, 0.000131266530786391, 0.4525,650.322326660156
0.0235006666666667, 229.673641454882, 0.000263570385281423, 0.46625,650.322326660156
0.0241664116666667, 229.68475566494, 0.000258263651850025, 0.47875,646.837951660156
0.02483327, 229.696188460485, 0.000456912173942153, 0.4925,640.822448730469
0.0254997383333333, 229.706823143973, 0.000279448587713581, 0.50625,777.897583007813
0.0261666833333333, 229.718124755559, 0.000244240856138492, 0.52,641.60107421875
0.026833155, 229.729548688119, 0.000351774954787304, 0.5325,641.60107421875
0.0274996983333333, 229.740801880942, 0.000309988553653059, 0.545,644.567749023438
0.02816651, 229.751660977096, 3.91711565282951E-05, 0.56,637.911254882813
0.028833275, 229.763301182348, 8.23434880449454E-05, 0.5725,646.489135742188
0.0294998233333333, 229.774610114228, 2.18680256792473E-05, 0.58625,517.296081542969
0.0301665433333333, 229.786076834395, -0.000633369562374871, 0.6,517.296081542969
0.03083318, 229.797199715071, -0.000784855953336299, 0.6125,648.524047851563
0.031499725, 229.808782849503, -0.000994020447205012, 0.62625,639.296264648438
0.0321669366666667, 229.819743161999, -0.00085699332997772, 0.64,640.962890625
0.03283329, 229.830623678531, -0.000832732048589221, 0.65375,646.220581054688
0.0334996916666667, 229.841035773514, -0.000642475604999853, 0.66625,646.220581054688
0.034166695, 229.85198518324, -0.000571469171592283, 0.68,636.411804199219
0.0348331883333333, 229.863115716333, -0.000467849876316105, 0.6925,651.227294921875
0.0355003633333333, 229.874208235935, -0.000423174620271087, 0.70625,641.702575683594
0.036166575, 229.885833331016, -0.000519990257306366, 0.72,638.370422363281
0.0368330883333333, 229.897863504687, -0.000461922173990471, 0.7325,638.370422363281
0.03749997, 229.909991925474, -0.000762883556990999, 0.74625,641.421447753906
0.0381665383333333, 229.921343502744, -0.000711619131937257, 0.76,638.168334960938
0.03883331, 229.932895752542, -0.000741448133667083, 0.775,644.346313476563
0.039499795, 229.94406934544, -0.000667396853210801, 0.78625,636.535705566406
0.04016736, 229.955277899663, -0.000727744822002223, 0.8,636.535705566406
0.0408331133333333, 229.966488639034, -0.000581506667420467, 0.8125,641.2998046875
0.0414997816666667, 229.977829424905, -0.000695034465047402, 0.82625,632.38623046875
0.04216641, 229.995000477163, -0.0010996976392513, 0.8425,758.267395019531
0.0429997116666667, 230.006214313955, -0.000786391876307809, 0.855,631.224060058594
0.04366667, 230.016873095408, -0.000823651504785366, 0.86875,628.131286621094
0.0443330633333333, 230.027334822749, -0.000784200486350821, 0.8825,628.131286621094
0.0449997033333333, 230.038379386797, -0.000563317081079061, 0.895,626.603881835938
0.0456663966666667, 230.048682924365, -0.000471578688998973, 0.91125,628.724548339844
0.0464997266666667, 230.059288436256, -0.000696462393313099, 0.925,629.256408691406
