"n_peaks","mean_AE","total_AE","first_AE","first_load","Source"
18,3454.17342799109,62175.1217038396,437.804897717652,1.27679699233952,"Alumina 20N 20Nmin"
13,4956.56744993885,64435.376849205,7081.47929169816,2.35157162338024,"Alumina 20N 20Nmin"
26,1567.30861815613,40750.0240720594,581.715655744398,1.5524644654823,"Alumina 20N 20Nmin"
20,2127.68533379542,42553.7066759084,231.00847374903,1.75457425284749,"Alumina 20N 20Nmin"
20,1828.57691325978,36571.5382651957,473.667164419452,2.18785056007161,"Alumina 20N 20Nmin"
20,1365.99927533878,27319.9855067756,890.414259469638,1.16784203484354,"Alumina 20N 20Nmin"
18,2669.22856227751,48046.1141209951,2039.51234015023,1.76394728931408,"Alumina 20N 20Nmin"
22,2598.86133132383,57174.9492891242,1766.12413206068,2.25029155323068,"Alumina 20N 20Nmin"
17,4215.17103677528,71657.9076251798,874.63943133525,2.36853621691172,"Alumina 20N 20Nmin"
18,3989.93958298753,71818.9124937755,570.421577616436,5.2292485602961,"Alumina 20N 20Nmin"
16,2230.84357698215,35693.4972317144,1283.70480211032,2.21507731139553,"Alumina 20N 20Nmin"
12,3836.94713272131,46043.3655926557,907.072961782178,1.6719612917569,"Alumina 20N 20Nmin"
17,3679.80037653482,62556.606401092,560.024809984962,3.26367128334289,"Alumina 20N 20Nmin"
17,2181.7112823799,37089.0918004583,286.863575865655,1.33956773101009,"Alumina 20N 20Nmin"
19,2450.2546501167,46554.8383522172,4618.65124853106,2.52053529290254,"Alumina 20N 20Nmin"
18,3284.77815420614,59126.0067757106,326.855724803472,1.62437546106361,"Alumina 20N 20Nmin"
19,2132.95068279166,40526.0629730415,347.640407362484,1.58026195598446,"Alumina 20N 20Nmin"
17,7492.448802846,127371.629648382,2273.80503812576,1.89772360604519,"Alumina 20N 20Nmin"
20,3093.00538712571,61860.1077425141,2748.68897629807,1.10924195378858,"Alumina 20N 20Nmin"
17,2949.44095265761,50140.4961951794,11360.7612992655,2.14285979509593,"Alumina 20N 20Nmin"
19,3073.21537188654,58391.0920658442,241.39438478744,1.12061737138823,"Alumina 20N 20Nmin"
15,6207.79773217425,93116.9659826138,2529.71449649718,3.6120293062935,"Alumina 20N 20Nmin"
24,3044.60341082619,73070.4818598286,548.664667234883,2.09680151080457,"Alumina 20N 20Nmin"
19,1932.66495275009,36720.6341022518,2273.61106995045,2.74134488723191,"Alumina 20N 20Nmin"
17,3384.30412443003,57533.1701153104,669.795432305714,2.48609594223373,"Alumina 20N 20Nmin"
16,2929.6953731494,46875.1259703904,329.183322520738,1.49202957679276,"Alumina 20N 20Nmin"
16,3577.94613863417,57247.1382181467,5199.84572817274,2.4515973466535,"Alumina 20N 20Nmin"
18,2706.68406077089,48720.313093876,2206.03777476015,1.69720620681186,"Alumina 20N 20Nmin"
23,1837.85275895018,42270.6134558542,279.510691397531,1.41681027470381,"Alumina 20N 20Nmin"
19,3673.55497385125,69797.5445031738,815.66628752056,2.09799236756189,"Alumina 20N 20Nmin"
16,2975.54964578432,47608.7943325491,467.715089204727,1.10046681003556,"Alumina 20N 20Nmin"
18,1816.01720604391,32688.3097087904,1087.13427655987,2.46243361088092,"Alumina 20N 20Nmin"
