"AE","Load","Depth","PeakNumber","Source"
1387.31041135756,2.28180166451066,3.791872989707,2,"Alumina 20N 20Nmin"
245.251298808732,3.47891333733759,4.759930681339,3,"Alumina 20N 20Nmin"
239.923784160295,4.10665680093697,5.20603207232301,4,"Alumina 20N 20Nmin"
1816.38755979506,4.47050718111125,5.453790601484,5,"Alumina 20N 20Nmin"
307.579362773576,4.82015078487707,5.69205974941102,6,"Alumina 20N 20Nmin"
6528.01609983412,6.54815175418722,6.66299589681702,7,"Alumina 20N 20Nmin"
606.912340068498,6.55714046369372,6.67520082195202,8,"Alumina 20N 20Nmin"
739.267930888811,6.76965377037151,6.814029227118,9,"Alumina 20N 20Nmin"
449.616807841936,7.14703532938865,7.00792747875801,10,"Alumina 20N 20Nmin"
501.175035380998,7.82671536576813,7.33283932058401,11,"Alumina 20N 20Nmin"
5415.75926389662,8.26692031223197,7.56325164397802,12,"Alumina 20N 20Nmin"
465.790208720842,8.9518970505635,7.90037993547401,13,"Alumina 20N 20Nmin"
7994.69676389662,9.28913441748164,8.07028088658402,14,"Alumina 20N 20Nmin"
679.339464091936,11.2930690014338,8.96943861318002,15,"Alumina 20N 20Nmin"
1619.5568713185,13.974571675346,10.0190872561,16,"Alumina 20N 20Nmin"
6993.70750608412,14.5347403321576,10.26506425068,17,"Alumina 20N 20Nmin"
321.385118388811,14.829627801767,10.445649230329,18,"Alumina 20N 20Nmin"
974.074083232563,17.2883954134296,11.333645436683,19,"Alumina 20N 20Nmin"
17244.1738146779,18.5240106172642,11.768960615795,20,"Alumina 20N 20Nmin"
638.981126689592,18.527259722565,11.785842646944,21,"Alumina 20N 20Nmin"
239.920305156389,19.5211685860575,12.158766072248,22,"Alumina 20N 20Nmin"
874.63943133525,2.36853621691172,3.816605134875,1,"Alumina 20N 20Nmin"
508.262050964156,2.61252023034867,4.02438404303601,2,"Alumina 20N 20Nmin"
3841.29372821025,2.80739990674536,4.210486972279,3,"Alumina 20N 20Nmin"
2623.88625750713,3.83499118790512,5.00424739151001,4,"Alumina 20N 20Nmin"
234.030483581344,3.89257093323451,5.06640685667298,5,"Alumina 20N 20Nmin"
1738.45901141338,4.77125620528814,5.638761487967,6,"Alumina 20N 20Nmin"
478.525356628219,6.05158019744695,6.398196129599,7,"Alumina 20N 20Nmin"
391.038082458297,6.58738410807429,6.70001798291699,8,"Alumina 20N 20Nmin"
328.387874938766,6.99933473672306,6.92423914182299,9,"Alumina 20N 20Nmin"
945.31057391338,10.5679448076544,8.58977055064599,10,"Alumina 20N 20Nmin"
7750.41384539775,10.6333054601569,8.64880972693601,11,"Alumina 20N 20Nmin"
3505.79104266338,12.8945647729559,9.59479513704699,12,"Alumina 20N 20Nmin"
484.1262477415,12.9040551772628,9.60536458837001,13,"Alumina 20N 20Nmin"
289.354153014938,13.6751494659993,9.933809685791,14,"Alumina 20N 20Nmin"
1328.78493914775,15.6145728152836,10.682928210562,15,"Alumina 20N 20Nmin"
2182.33572039775,16.8934069322774,11.152264388128,16,"Alumina 20N 20Nmin"
44153.2688258665,18.6256713774377,11.768795559076,17,"Alumina 20N 20Nmin"
570.421577616436,5.2292485602961,5.8793150361,1,"Alumina 20N 20Nmin"
352.71610276292,5.36720450441261,5.973987607662,2,"Alumina 20N 20Nmin"
4193.83026902269,7.2781046893857,7.01762571374098,3,"Alumina 20N 20Nmin"
291.978126688702,9.13468986654513,7.921508760406,4,"Alumina 20N 20Nmin"
1150.69025437425,11.0887258343527,8.78695653742699,5,"Alumina 20N 20Nmin"
308.685707255108,11.1105173967852,8.804171505536,6,"Alumina 20N 20Nmin"
15948.4518510539,11.1276582568177,8.830007683236,7,"Alumina 20N 20Nmin"
431.959053202374,12.2696312292041,9.33281670934301,8,"Alumina 20N 20Nmin"
2572.18988816332,12.4264818907587,9.41261633940599,9,"Alumina 20N 20Nmin"
