"AE","Load","Depth","PeakNumber","Source"
1506.69177253443,1.02386649953024,3.54384402355197,1,"Sic Stats (1)"
1454.47351081568,2.08956243973271,5.21444117110497,2,"Sic Stats (1)"
3425.16979987818,3.92578414172826,7.30943364242501,3,"Sic Stats (1)"
3857.60681159693,5.11025923877711,8.51247764837797,4,"Sic Stats (1)"
2095.55334480006,6.50423363989431,9.83708852592599,5,"Sic Stats (1)"
4380.22399909693,8.48708905663087,11.628825376232,6,"Sic Stats (1)"
2451.08679206568,8.56506100068129,11.707888762193,7,"Sic Stats (1)"
1838.58605964381,8.73742677642772,11.879881737425,8,"Sic Stats (1)"
3969.92175300318,8.88788174573127,12.02440507107,9,"Sic Stats (1)"
11008.2840576907,8.88989196725992,12.029044256451,10,"Sic Stats (1)"
902.410369888756,1.73692674117825,2.94487351939102,1,"Sic Stats (10)"
4052.42172242782,1.73989589304081,2.94965069650101,2,"Sic Stats (10)"
3988.76058961532,4.83724331500414,6.43564043509303,3,"Sic Stats (10)"
1698.00595094345,5.12385217843948,6.71896284415504,4,"Sic Stats (10)"
6689.43734742782,5.39075485019606,6.981064940024,5,"Sic Stats (10)"
1123.80221559188,5.62995892772431,7.204241585033,6,"Sic Stats (10)"
5259.65414430282,5.85909848978275,7.42399988397102,7,"Sic Stats (10)"
2133.6050720372,5.87614563002259,7.45482547433704,8,"Sic Stats (10)"
958.380218521566,6.11396000935388,7.70436177816703,9,"Sic Stats (10)"
3633.96664430282,6.85708406000661,8.39439278984599,10,"Sic Stats (10)"
1045.43820192001,7.48714603214972,9.008305976104,11,"Sic Stats (10)"
1333.43490602157,8.60431224555417,10.006313788077,12,"Sic Stats (10)"
927.316375748126,9.69357732840279,10.935751505321,13,"Sic Stats (10)"
2694.42665416426,6.30083133589136,7.92568076257498,1,"Sic Stats (100)"
2391.19618541426,7.04464139958626,8.60875356403798,2,"Sic Stats (100)"
1948.86732799238,7.06454643927671,8.63060620112699,3,"Sic Stats (100)"
