Time (min), Depth (µm), Load (N), Position (µm), Acoustic (aJ)
8.79E-06, 227.35062904039, -0.000390609817471548, 0,146.578872680664
0.000665726666666667, 227.350866764631, -0.000351481282889974, 0.00375000000000028,146.589859008789
0.00133238666666667, 227.35127511981, -0.000666345467564758, 0.0162499999999998,146.589859008789
0.001999005, 227.351163707919, -0.000305378098600513, 0.03125,150.225372314453
0.00266575833333333, 227.351506431399, -0.000291133314119807, 0.0449999999999999,155.749877929688
0.00333227166666667, 227.352177749956, -0.000293507694853992, 0.0600000000000002,168.719573974609
0.00400112833333333, 227.353441153611, -8.03489015767632E-05, 0.0750000000000004,179.679580688477
0.00466549833333333, 227.354267663809, 6.48923662771739E-06, 0.0899999999999998,179.679580688477
0.005332585, 227.355966473395, -0.000238104977649021, 0.103750000000001,188.63395690918
0.00599907833333333, 227.358703909766, -0.00035086181396265, 0.1175,190.307037353516
0.00666571833333333, 227.362412734224, -0.000602883655223329, 0.13,191.094451904297
0.00733225333333333, 227.366736476693, -0.00075952978704589, 0.1425,197.284317016602
0.00799896333333333, 227.37210529423, -0.000721352204663506, 0.15625,197.284317016602
0.00866561, 227.378535076363, -0.000886681400365567, 0.17,192.086685180664
0.00933258333333333, 227.385862527861, -0.000745773978026916, 0.18375,229.442306518555
0.009999145, 227.393828401608, -0.000430177830052055, 0.19625,190.074752807617
0.0106654833333333, 227.402546844473, -0.000310362348285211, 0.21,191.848937988281
0.0113324616666667, 227.411223268051, -0.00019139732378254, 0.2225,191.848937988281
0.011998985, 227.420777262682, 2.08945129983186E-05, 0.23625,184.912948608398
0.01266593, 227.434993975323, 0.000407612588517292, 0.25,186.952178955078
0.0133323266666667, 227.440225658972, 0.000356628649411975, 0.26375,186.85595703125
0.0139994316666667, 227.450980402787, 0.000197108661965182, 0.27625,190.978500366211
0.0146655966666667, 227.462314613551, 8.45708146356837E-05, 0.29,190.978500366211
0.0153322483333333, 227.473178657564, 0.000110089032886653, 0.30375,186.785705566406
0.0159989816666667, 227.484058819869, 0.000194224306848873, 0.3175,191.31494140625
0.01666603, 227.494973406418, -0.000176474573322782, 0.33,188.959091186523
0.0173322616666667, 227.505761254986, -0.000123563230997959, 0.34375,186.842544555664
0.01799975, 227.516573334196, -0.000274955126743235, 0.3575,186.842544555664
0.01866549, 227.527530820028, -0.000634974543335842, 0.370000000000001,189.302810668945
0.0193322466666667, 227.538320856003, -0.00103915924154883, 0.38375,188.585372924805
0.0199999133333333, 227.549447770213, -0.00125274851319356, 0.3975,188.771514892578
